Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 24, 2017",14608.2,14626.0,12747.7,13925.8,11572299776,244823687168
"Dec 23, 2017",13948.7,15603.2,13828.8,14699.2,13086000128,233747824640
"Dec 22, 2017",15898.0,15943.4,11833.0,13831.8,22197999616,266381426688
"Dec 21, 2017",16642.4,17567.7,15342.7,15802.9,16516599808,278826811392
"Dec 20, 2017",17760.3,17934.7,16077.7,16624.6,22149699584,297526394880
"Dec 19, 2017",19118.3,19177.8,17275.4,17776.7,16894499840,320242253824
"Dec 18, 2017",19106.4,19371.0,18355.9,19114.2,14839499776,320000294912
"Dec 17, 2017",19475.8,20089.0,18974.1,19140.8,13314599936,326141280256
"Dec 16, 2017",17760.3,19716.7,17515.3,19497.4,12740599808,297375760384
"Dec 15, 2017",16601.3,18154.1,16601.3,17706.9,14309999616,277935587328
"Dec 14, 2017",16384.6,17085.8,16185.9,16564.0,13777399808,274268504064
"Dec 13, 2017",17500.0,17653.1,16039.7,16408.2,12976900096,292900372480
"Dec 12, 2017",16919.8,17781.8,16571.6,17415.4,14603799552,283154612224
"Dec 11, 2017",15427.4,17513.9,15404.8,16936.8,12153900032,258146762752
"Dec 10, 2017",15168.4,15850.6,13226.6,15455.4,13433299968,253781737472
"Dec 09, 2017",16523.3,16783.0,13674.9,15178.2,13911300096,276415348736
"Dec 08, 2017",17802.9,18353.4,14336.9,16569.4,21135998976,297786572800
"Dec 07, 2017",14266.1,17899.7,14057.3,17899.7,17950699520,238599536640
"Dec 06, 2017",11923.4,14369.1,11923.4,14291.5,12656300032,199390003200
"Dec 05, 2017",11685.7,12032.0,11604.6,11916.7,6895260160,195389161472
"Dec 04, 2017",11315.4,11657.2,11081.8,11657.2,6132409856,189172383744
"Dec 03, 2017",11082.7,11858.7,10862.0,11323.2,6608309760,185258246144
"Dec 02, 2017",10978.3,11320.2,10905.1,11074.6,5138500096,183489593344
"Dec 01, 2017",10198.6,11046.7,9694.65,10975.6,6783119872,170435903488
"Nov 30, 2017",9906.79,10801.0,9202.05,10233.6,8310689792,165537480704
"Nov 29, 2017",10077.4,11517.4,9601.03,9888.61,11568799744,168366702592
"Nov 28, 2017",9823.43,10125.7,9736.3,10058.8,6348819968,164104404992
"Nov 27, 2017",9352.72,9818.35,9352.72,9818.35,5653320192,156221046784
"Nov 26, 2017",8789.04,9522.93,8775.59,9330.55,5475579904,146789220352
"Nov 25, 2017",8241.71,8790.92,8191.15,8790.92,4342060032,137631875072
"Nov 24, 2017",8074.02,8374.16,7940.93,8253.69,5058610176,134816366592
"Nov 23, 2017",8232.38,8267.4,8038.77,8038.77,4225179904,137444474880
"Nov 22, 2017",8077.95,8302.26,8075.47,8253.55,3633530112,134851436544
"Nov 21, 2017",8205.74,8348.66,7762.71,8071.26,4277609984,136966864896
